"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Quinnipiac",69.7726,105,69.9264,53,105.302,244,104.469,265,102.807,60,108.689,155,-4.22058,218
"2026","Radford",72.4257,19,70.6426,28,108.93,168,106.533,224,109.794,212,114.18,272,-7.64631,258
"2026","Rhode Island",66.2382,288,65.9905,260,104.944,251,106.102,231,102.13,48,103.225,60,2.87658,134
"2026","Rice",66.7303,260,65.586,277,106.425,221,108.759,182,113.234,295,113.992,266,-5.2321,226
"2026","Richmond",68.6494,164,67.7566,157,111.239,119,111.792,129,108.411,177,110.081,191,1.71046,144
"2026","Rider",65.6969,312,65.8498,268,95.2642,355,95.878,352,116.646,342,120.337,349,-24.4592,357
"2026","Robert Morris",66.1239,295,64.5154,325,114.067,75,110.856,144,108.553,181,109.237,169,1.61914,145
"2026","Rutgers",66.5436,272,66.589,225,105.133,247,111.016,141,112.34,278,107.691,134,3.3242,129
"2026","Sacramento St.",72.2908,21,71.7519,13,104.287,267,106.028,235,114.834,319,114.334,274,-8.30665,265
"2026","Sacred Heart",68.3541,181,68.4825,120,107.926,189,107.465,211,112.808,286,118.962,337,-11.4971,296
"2026","Saint Francis",69.9877,92,70.0123,51,99.7669,331,99.7892,328,117.868,347,122.097,357,-22.3081,354
"2026","Saint Joseph's",68.3672,180,68.3254,125,105.328,243,107.013,221,102.455,55,102.974,57,4.03983,122
"2026","Saint Louis",71.9633,27,70.9686,23,121.024,12,120.069,47,98.2818,16,101.423,41,18.646,40
"2026","Saint Mary's",66.3613,283,65.1498,300,117.183,47,120.679,43,98.3255,17,97.5367,21,23.1422,22
"2026","Saint Peter's",65.5309,318,65.5657,279,104.834,255,103.178,286,104.553,86,110.734,202,-7.55615,256
"2026","Sam Houston St.",70.4567,79,70.1886,40,114.649,68,115.019,86,108.281,173,109.116,164,5.90313,108
"2026","Samford",68.4488,177,67.2977,185,112.459,99,109.92,164,111.219,249,113.781,261,-3.861,212
"2026","San Diego",68.7953,159,68.051,137,104.686,259,108.485,184,113.131,293,113.456,257,-4.97191,224
"2026","San Diego St.",69.445,125,68.9781,99,109.97,142,114.845,91,100.937,37,98.1324,23,16.7127,47
"2026","San Francisco",66.73,261,65.9992,259,110.23,132,113.964,101,109.913,219,109.664,180,4.30017,120
"2026","San Jose St.",65.5228,319,64.894,312,106.653,218,111.574,132,120.341,359,117.67,326,-6.09665,236
"2026","Santa Clara",69.8598,99,69.6199,65,119.166,29,123.766,21,104.256,83,103.993,73,19.7731,34
"2026","Seattle",68.6243,168,67.6776,162,101.215,312,102.525,297,98.7863,22,97.9468,22,4.57798,118
"2026","Seton Hall",66.3948,281,65.045,306,105.838,234,110.486,153,97.9752,14,95.1647,13,15.321,51
"2026","Siena",64.3283,347,64.593,323,109.964,143,107.623,209,102.328,52,110.298,192,-2.67517,196
"2026","SIUE",65.6044,315,64.4264,327,102.528,300,99.7526,330,99.6468,28,107.365,130,-7.61217,257
"2026","SMU",71.1325,51,69.0231,96,118.439,37,123.773,20,110.021,222,106.278,108,17.4948,43
"2026","South Alabama",65.729,311,64.681,322,108.887,169,107.211,216,105.664,104,110.399,196,-3.18785,206
"2026","South Carolina",68.1063,198,66.4881,230,108.84,170,112.424,118,110.483,234,104.566,82,7.85819,95
"2026","South Carolina St.",69.9567,95,68.2188,131,96.0387,354,95.2768,357,114.95,321,119.383,341,-24.106,356
"2026","South Dakota",71.4197,40,69.8954,54,107.347,205,104.524,263,112.834,287,114.833,285,-10.3082,281
"2026","South Dakota St.",67.9108,207,66.827,214,109.193,160,108.279,187,109.42,204,112.579,243,-4.3002,221
"2026","South Florida",73.2047,12,71.6194,14,117.323,44,117.744,61,103.174,65,102.465,50,15.279,52
"2026","Southeast Missouri",69.9208,98,68.9396,103,104.533,264,102.432,298,102.782,59,108.285,144,-5.85289,231
"2026","Southeastern Louisiana",65.6395,313,65.5211,283,98.5202,339,99.8488,325,108.419,178,110.432,197,-10.5835,285
"2026","Southern",71.8307,30,70.4759,32,104.847,254,104.496,264,111.057,246,113.999,267,-9.50338,275
"2026","Southern Illinois",69.7171,108,68.9658,102,102.905,291,104.097,272,99.5664,26,99.4795,29,4.6179,117
"2026","Southern Indiana",68.5142,174,67.5675,169,97.1488,344,95.7979,354,107.731,158,114.424,279,-18.6261,339
"2026","Southern Miss",69.6181,115,69.348,78,105.556,241,105.455,253,106.665,128,109.682,181,-4.22677,219
"2026","Southern Utah",70.8131,63,70.2087,37,102.005,305,107.348,214,114.268,313,114.436,280,-7.08768,252
"2026","St. Bonaventure",67.6612,216,67.176,191,111.805,106,113.755,103,111.468,257,112.846,246,0.909172,159
"2026","St. John's",71.2416,49,69.7533,62,114.237,74,119.79,51,99.073,23,95.356,14,24.4342,21
